simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
907516,9.810000192,0.543795943,0.546296,0.002500057
907525,9.810015093,0.546296,0.548795938,0.002499938
907536,9.809986222,0.548795938,0.551295996,0.002500058
907545,9.810014162,0.551295996,0.553795934,0.002499938
907554,9.809979703,0.553795934,0.556295991,0.002500057
907563,9.810007643,0.556295991,0.558796048,0.002500057
907573,9.810015093,0.558796048,0.561295986,0.002499938
907582,9.809986222,0.561295986,0.563796043,0.002500057
907591,9.810014162,0.563796043,0.566295981,0.002499938
907600,9.809986222,0.566295981,0.568795919,0.002499938
907609,9.810014162,0.568795919,0.571295977,0.002500058
907618,9.809986222,0.571295977,0.573795915,0.002499938
907629,9.810000192,0.573795915,0.576295972,0.002500057
907637,9.810015093,0.576295972,0.578796029,0.002500057
907647,9.809986222,0.578796029,0.581295967,0.002499938
907656,9.810014162,0.581295967,0.583796024,0.002500057
907666,9.810000192,0.583796024,0.586295962,0.002499938
907675,9.809986222,0.586295962,0.58879602,0.002500058
907684,9.810007643,0.58879602,0.591295958,0.002499938
907693,9.810000192,0.591295958,0.593795896,0.002499938
907703,9.809992742,0.593795896,0.596295953,0.002500057
907713,9.810014162,0.596295953,0.59879601,0.002500057
907723,9.810000192,0.59879601,0.601295948,0.002499938
907733,9.810000192,0.601295948,0.603796005,0.002500057
907740,9.809978772,0.603796005,0.606295943,0.002499938
907749,9.810021613,0.606295943,0.608796,0.002500057
907758,9.809985291,0.608796,0.611295938,0.002499938
907767,9.810028132,0.611295938,0.613795996,0.002500058
907776,9.809966664,0.613795996,0.616296053,0.002500057
907784,9.810007643,0.616296053,0.618795991,0.002499938
907792,9.810014162,0.618795991,0.621295929,0.002499938
907801,9.810000192,0.621295929,0.623795986,0.002500057
907811,9.809992742,0.623795986,0.626295924,0.002499938
907819,9.810007643,0.626295924,0.628795981,0.002500057
907828,9.809985291,0.628795981,0.631296039,0.002500058
907837,9.810000192,0.631296039,0.633795977,0.002499938
907845,9.810014162,0.633795977,0.636296034,0.002500057
907854,9.81000578,0.636296034,0.638795972,0.002499938
907863,9.809972252,0.638795972,0.641296029,0.002500057
907872,9.810020681,0.641296029,0.643795967,0.002499938
907880,9.809992742,0.643795967,0.646295905,0.002499938
907889,9.809992742,0.646295905,0.648795962,0.002500057
907897,9.810007643,0.648795962,0.65129602,0.002500058
907906,9.809992742,0.65129602,0.653795958,0.002499938
907915,9.810021613,0.653795958,0.656296015,0.002500057
907924,9.809978772,0.656296015,0.658795953,0.002499938
907933,9.810015093,0.658795953,0.66129601,0.002500057
907941,9.809986222,0.66129601,0.663795948,0.002499938
907950,9.810015093,0.663795948,0.666296005,0.002500057
907959,9.810000192,0.666296005,0.668795943,0.002499938
907968,9.809992742,0.668795943,0.671296,0.002500057
907978,9.809992742,0.671296,0.673795938,0.002499938
907987,9.810000192,0.673795938,0.676295996,0.002500058
907995,9.810015093,0.676295996,0.678796053,0.002500057
908004,9.809986222,0.678796053,0.681295991,0.002499938
908014,9.810014162,0.681295991,0.683795929,0.002499938
908022,9.809992742,0.683795929,0.686295986,0.002500057
908030,9.810000192,0.686295986,0.688796043,0.002500057
908041,9.810007643,0.688796043,0.691295981,0.002499938
908054,9.809986222,0.691295981,0.693795919,0.002499938
908064,9.810000192,0.693795919,0.696295977,0.002500058
908073,9.810021613,0.696295977,0.698795915,0.002499938
908081,9.809986222,0.698795915,0.701295972,0.002500057
908090,9.809992742,0.701295972,0.703796029,0.002500057
908099,9.810007643,0.703796029,0.706295967,0.002499938
908108,9.810000192,0.706295967,0.708796024,0.002500057
908117,9.810000192,0.708796024,0.711295962,0.002499938
